,Title,published_date,Views,Likes,Comments
87,"0 to 20000 Subscribers Milestone ❤️Special Giveaway 🥳You Guys Are My Strength, You Have Made Me ❤️❤️",2021-05-16T13:08:15Z,2291,137,56
88,5 Years in TCS 👨🏻‍💻9 Job Offers From Product Companies 😳Expectation In Interviews? How To Crack It?,2021-05-15T08:26:15Z,196061,3865,180
89,Blind Student Cracked Top MNC 🔥GoldmanSachs 🔴Life Is A Hustle 🔴Never Give UP 🔴Inspirational Journey🔥,2021-05-08T06:32:36Z,3709,293,47
90,Switching Job Profile As Fresher🔴How Did i Move From Software Engineer to Data Engineer ? Factors 🔴,2021-05-02T12:18:08Z,10334,329,46
91,"Does Scaler Academy Live Up To Promises?? 🔴Alumni At Amazon, Adobe, DP World Give Honest Reviews 🔴",2021-04-29T06:12:05Z,17322,420,39
92,Fresher At Unicorn Startup PharmEasy 🔴Data Analyst Intern 🔴Required Skills 🔴Startup Vs MNC...,2021-04-24T12:09:52Z,7849,277,25
93,"Researched at NASA 🔴Managed People @ Amazon, Microsoft, Expedia, Citi 🔴Running His Own Startup 🤟",2021-04-18T16:36:23Z,1726,108,18
94,Top SQL Interview Topics 🔴Data Engineer🔴Data Scientist🔴Data Analyst🔴Freshers & Experienced Candidate,2021-04-17T08:10:37Z,7017,312,17
95,13 Year Old Genius Kid 🔴Self Taught Programmer & Machine Learning Engineer 🔥,2021-04-10T07:58:08Z,3538,184,16
96,Rewards Worth Rs.7000000 🔴CodeX and CodeX-For-Her 🔴Nationwide Coding Challenge 🔴Scholarships,2021-04-04T06:15:55Z,725,26,4
97,NIMCET 2021 - MCA @ NIT 🔴 Rank Under 50 - My Strategy My Strategy 🔴 Preparation In Last Months 🔴,2021-04-01T11:53:09Z,8673,366,52
98,"Biggest INTERNSHIP Fair 🤑 With Top Brands 🔴 OnePlus, Urban Company, Airtel, HCL 🔴 44k+ Opportunities",2021-03-31T10:39:49Z,1884,90,11
99,Random Talk - Upcoming Video Updates - GeeksForGeeks Summer Carnival 🧭,2021-03-22T12:12:41Z,729,32,8
100,System Designing - Is It Really Important ?? 🤷‍♂️ Ft. @sudoCODE 👩‍🔧,2021-03-20T08:39:01Z,2227,117,6
101,Kids Will Be Blessed.. If Their Parents? #shorts,2021-03-16T14:09:12Z,1988,97,3
102,MYNTRA Complete Process - SSE 🔴Is Coding Round Required For Frontend Developers? Service To Product🔥,2021-03-06T08:26:45Z,39498,1137,75
103,No Spoon Feeding - Help Yourself #SHORTS,2021-03-02T15:32:12Z,2725,162,8
104,Branch ECE But Software Engineering Job 🔥Challenges - Preparation From 1'st Year - Salary - Expedia,2021-02-28T11:28:49Z,3499,129,17
105,Resume Review | Live Stream | @Nishant Chahar  @Riddhi Dutta ​ Prabhudeep Singh 🤟,2021-02-28T06:04:34Z,2405,103,6
106,Reviewed My Resume - That Got Me Into AMAZON as Data Engineer | Interview Calls From Top Companies🔥,2021-02-27T07:26:36Z,21222,673,55
107,Don't Complain For Facilities... #SHORTS,2021-02-23T14:24:30Z,3929,344,20
108,Skill Set vs Salary Package #SHORTS,2021-02-21T09:28:30Z,3304,239,24
109,FINANCIAL CRUNCH - Common Challenge Of Middle Class Boy | Self Preparation For GATE | IIT to INTEL 🔥,2021-02-20T07:37:28Z,2589,153,10
110,Self Motivation - 5 Important Things🙂 #SHORTS,2021-02-17T16:57:18Z,1102,110,5
111,Joining SWIGGY😍Bold Decision Of Dropping Physics Hons.🙄He Followed His Passion Of CS Engineer🙏,2021-02-16T05:45:04Z,6157,331,22
112,Answers To Your Questions 🤓 Q&A Live Stream 🧭,2021-02-14T04:35:07Z,1020,57,4
113,3 Worst Mistakes In College As Fresher 😣 #SHORTS,2021-02-12T16:19:12Z,2272,176,6
114,2 Beginner Level Projects For Aspiring Data Engineers ⌛️Covid-19 Data | Real Time Data Processing 👈,2021-02-10T07:17:16Z,8715,300,17
115,5 Tips To Convert Internship Into Full Time Offer l It Worked For Me✌ #shorts,2021-02-07T14:55:40Z,985,97,9
116,MCA after B.SC/BCA - Is It Really Worth? How Did I Crack NIMCET With AIR-43 ? Other Exams & Strategy,2021-02-06T07:38:01Z,47268,1898,368
117,Data Science Roadmap For Freshers | How Much Coding & DSA? Is Master's  Degree Mandatory? INTERNSHIP,2021-01-30T07:32:45Z,4805,221,26
118,Most Common & Useful Python Libraries in Data Engineering Projects | Explained In 10 Minutes,2021-01-27T14:07:31Z,4670,159,22
119,Started From TCS - 8 Year's Wait For Microsoft 🔥Pro Tips - Clueless Journey Into Successful Career🔥,2021-01-23T07:31:28Z,175480,7022,329
120,"Chill Stream With @Riddhi Dutta , Prabhudeep Singh, @Nishant Chahar  🥶 Gappe Marenge🤪",2021-01-17T05:09:27Z,3828,156,0
121,"Cracking the Google Coding Interview with Aanshul Sadaria | Process, Preparation & No Short Tricks🤟",2021-01-16T07:26:57Z,17510,785,51
122,GSoC Vs MLH Fellowship🔥by 3'rd YEAR Student | Shortlisting Process| Differences| Internship Secrets🤟,2021-01-10T12:25:08Z,7459,401,19
123,Smash Tech Interviews In 2021 - Best FREE Masterclasses🔥Scaler | InterviewBit | DON'T MISS IT☝️,2021-01-08T07:55:58Z,842,39,4
124,"5 Important Things, A Data Engineer Does 👨🏻‍💻Day To Day Task & Activity ☝️ Easy Or Tough Job??🤔",2021-01-06T07:08:48Z,2661,137,21
125,10K Special Ft.@Gaurav Sen ❤️Why Am I His Crazy Fan? UBER to interviewready.io☝️CP to System Design,2021-01-03T08:38:40Z,8829,538,34
126,Open Source Projects By Startups | Winter Of Coding 2021 | Biggest Event Of India | Mini GSoC 🤟,2021-01-01T07:45:27Z,4709,319,62
127,Rewind 2020 ⏪ What's New In 2021? Motivation 🙏Achievements🤟Growth☝️Thank You & Love You ELB Family❤️,2020-12-31T07:49:43Z,1305,143,16
128,Wohhoo 10k Subscribers ❤❤ Ooo Maa Gooo Turuu Lobbb🥳🥳🥳,2020-12-26T11:04:40Z,2654,149,28
